station,station_cluster_geo
10027,9
10030,9
10034,3
10036,7
10038,7
10043,9
10047,9
10048,2
2007,4
10039,9
2016,5
10075,7
10079,9
6006,7
6011,5
10086,9
6012,5
9011,1
3051,11
9003,1
5026,5
8007,11
10072,7
3001,2
2015,5
2028,4
2023,0
2025,5
6003,7
5005,5
2017,5
4005,8
5004,5
3004,2
3088,2
3031,5
5015,10
3037,2
2035,5
6004,5
2006,4
5007,10
3039,2
3012,11
2022,0
3038,2
3032,5
10049,9
4002,8
4003,8
4006,8
4007,8
10011,9
10013,3
10018,3
10028,9
10012,9
8042,6
3029,0
5044,10
5045,10
5054,10
9040,1
9049,1
10046,7
9043,1
9044,1
9010,1
5055,10
9033,1
7053,0
8004,6
8002,11
8021,6
8025,11
8039,6
10002,7
10025,2
10054,7
10056,7
10058,9
10071,3
5030,10
5008,10
10061,9
10073,2
10074,9
2036,5
5053,10
2042,0
5047,10
10063,3
10021,3
8038,11
7045,4
6045,2
7062,0
8056,6
8015,11
7057,4
7007,4
7064,0
1003,5
7018,4
7056,0
2012,0
7061,0
8008,6
10031,9
1016,5
3084,2
10120,7
6044,2
10122,9
3018,0
3101,2
10121,9
10092,9
8051,6
8057,6
8059,11
3090,11
3102,3
5050,5
3079,11
8054,11
3008,11
10113,3
3091,3
8053,11
3080,2
3083,2
3002,2
2002,5
7020,4
1023,1
2001,5
3015,2
1020,5
1034,5
3024,11
5016,10
8024,6
1001,5
9020,1
10064,9
10055,7
4004,8
10059,9
10060,2
6007,7
3043,2
10024,2
3086,11
10041,3
1022,5
2039,0
1032,5
2037,0
8035,11
4012,8
4014,8
4022,8
7034,0
1021,5
1005,5
2020,4
10119,9
7024,0
5040,5
2013,5
5041,5
3089,11
8061,6
2014,5
10115,3
10117,3
2041,0
10016,3
1013,5
4001,1
10006,7
2038,0
9041,8
9008,8
4042,8
10114,3
1036,8
4041,8
1035,5
6042,7
6041,7
6008,2
3094,2
3099,2
3100,2
6016,2
6031,5
7038,0
5031,10
3085,2
4025,1
1006,5
7005,4
4024,8
3036,2
4023,1
2004,0
7052,0
11003,8
4026,1
3066,2
3103,2
3082,0
10116,3
10118,3
7008,0
8060,6
10111,7
9052,1
10084,7
10103,7
10102,7
10001,9
10080,9
10112,3
10087,3
10088,3
10083,9
10035,3
10101,7
7055,0
10014,3
10091,9
10089,9
5036,10
10053,7
10110,3
12001,3
9032,1
3097,0
9051,1
7030,4
6043,7
11001,8
11002,7
8029,6
3010,2
8010,6
3071,11
7031,4
6001,2
10008,9
7049,4
3013,3
8003,11
12002,3
8041,6
2005,4
7023,0
9014,1
1024,5
7033,0
8058,11
8037,6
8052,11
9004,1
7022,0
9050,1
3003,2
3087,2
3067,2
8020,6
10004,7
9042,8
2010,4
10032,3
2009,4
3009,0
5029,5
2024,5
3044,5
5006,5
7039,0
5009,5
2011,5
9022,1
6002,7
2030,5
5001,10
2008,0
5002,10
7046,4
4009,8
6022,5
4021,8
6005,5
3058,2
3021,2
2026,5
3016,5
3005,0
3007,11
3053,0
7014,0
6040,2
9006,1
8001,11
8030,11
7001,0
7003,0
7006,4
6023,5
6024,7
7010,0
7004,0
7021,4
9013,8
1012,5
1031,5
6036,7
6028,2
8006,6
9029,1
4011,8
2003,0
9002,1
7041,0
4017,8
8011,6
10007,7
7012,4
10005,7
7009,4
6035,7
7011,0
6021,7
6037,7
8034,6
6020,7
7002,0
7016,0
6032,5
8040,11
1002,5
8009,6
7013,4
7035,0
